run,case,regime,specificity,query_id,phrase,ground_truth,gt_rank,top1_name,top1_score,matched_ids,rationale
3.6-flash/medium,retrieval_miss,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-116,Shoihu Serhii,Sergei Kuzhugetovich SHOIGU,,Serhiy MELNYCHUK,0.9214,,"None of the retrieved candidates match the surname 'Shoihu' in the search phrase 'Shoihu Serhii', even though several candidates share the first name 'Serhii' (or variants like Serhiy/Sergey/Sergei)."
3.6-flash/medium,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-119,Sikorskyi Artem,Artsiom Igaravich SIKORSKI,6,Artem SAMOYLOV,0.9384,32751,"The search phrase 'Sikorskyi Artem' matches candidate 32751 ('Artsiom Igaravich SIKORSKI') accounting for name-order reversal, transliteration variants ('Artsiom' for 'Artem'), and standard surname spelling/transliteration variations ('Sikorski' for 'Sikorskyi')."
3.6-flash/medium,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-125,Sokil Serhii,Sergey Mikhaylovich SOKOL,2,Serhii Anatoliyovych ZDRILIUK,0.9273,35517,"The search phrase 'Sokil Serhii' represents a standard Ukrainian name-order and transliteration variant (Sokil = Sokol, Serhii = Sergey) for Sergey Mikhaylovich SOKOL (ID 35517)."
3.6-flash/medium,multi_match,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-147,Volfovych Oleksandr,Aleksandr Grigorievich VOLFOVICH,2,Alexander VOLFOVICH,0.9338,"39784,34976","The search phrase 'Volfovych Oleksandr' corresponds to the individual name Oleksandr Volfovych, inverted. 'Oleksandr' is the Ukrainian variant of 'Aleksandr' and 'Alexander', and 'Volfovych' is the Ukrainian transliteration of 'Volfovich'. Candidates 39784 ('Alexander VOLFOVICH') and 34976 ('Aleksandr Grigorievich VOLFOVICH') match both the first name and surname components under standard transliteration and name-variant conventions."
3.6-flash/medium,rank1_override,rus_ukr,3-3,S-RUS-UKR-TRANSL-OFFICIAL-33-038,Husiev Denys Volodymyrovych,Denis Vladimirovich GUSEV,2,Denis Olegovich DEGTYARENKO,0.9019,36786,"The search phrase 'Husiev Denys Volodymyrovych' matches candidate 36786 ('Denis Vladimirovich GUSEV'). 'Husiev Denys Volodymyrovych' is the Ukrainian transliteration/form of the Russian name 'Denis Vladimirovich Gusev' (Husiev = Gusev, Denys = Denis, Volodymyrovych = Vladimirovich)."
3.6-flash/medium,rank1_override,rus_ukr,3-3,S-RUS-UKR-TRANSL-OFFICIAL-33-109,Siechin Ihor Ivanovych,Igor Ivanovich SECHIN,2,Ihor Ihorovych SEMENCHEV,0.9432,16692,"The search phrase 'Siechin Ihor Ivanovych' matches candidate 16692 'Igor Ivanovich SECHIN', representing the Ukrainian transliteration variant of the same full name (Siechin/Sechin, Ihor/Igor, Ivanovych/Ivanovich)."
3.6-flash/medium,rank1_override,rus_ukr,3-3,S-RUS-UKR-TRANSL-OFFICIAL-33-116,Shoihu Serhii Kuzhuhetovych,Sergei Kuzhugetovich SHOIGU,13,Serhiy MELNYCHUK,0.9209,35173,"The search phrase 'Shoihu Serhii Kuzhuhetovych' is a Ukrainian transliteration variant of Sergei Kuzhugetovich SHOIGU (entity ID 35173), where 'Shoihu' corresponds to 'Shoigu', 'Serhii' to 'Sergei', and 'Kuzhuhetovych' to 'Kuzhugetovich' (matching the g/h transliteration convention between Russian and Ukrainian)."
3.6-flash/medium,rank1_override,rus_ukr,3-3,S-RUS-UKR-TRANSL-OFFICIAL-33-119,Sikorskyi Artem Ihorovych,Artsiom Igaravich SIKORSKI,2,Artem Aleksandrovich VERHOV,0.9423,32751,"The search phrase 'Sikorskyi Artem Ihorovych' matches candidate 32751 ('Artsiom Igaravich SIKORSKI'). 'Artsiom', 'Igaravich', and 'Sikorski' are standard Belarusian transliteration variants of the Ukrainian/Russian name components 'Artem', 'Ihorovych', and 'Sikorskyi'."
3.7-flash/low r1,multi_match,lat,3-2,S-LAT-SLAV32-038,GUSEV Denis,Denis Vladimirovich GUSEV,2,Denis Igorevich GUSEV,0.9882,"26671,36786","The search phrase 'GUSEV Denis' matches candidates Denis Igorevich GUSEV (ID: 26671) and Denis Vladimirovich GUSEV (ID: 36786), representing standard name-order and patronymic variations of the same primary first and last name."
3.7-flash/low r1,multi_match,lat,3-2,S-LAT-SLAV32-142,VOLFOVICH Aleksandr,Aleksandr Grigorievich VOLFOVICH,1,Aleksandr Grigorievich VOLFOVICH,0.9799,"34976,39784","Candidates 34976 (Aleksandr Grigorievich VOLFOVICH) and 39784 (Alexander VOLFOVICH) match the search phrase 'VOLFOVICH Aleksandr', accounting for standard name order, patronymic inclusion, and transliteration variations of Aleksandr/Alexander."
3.7-flash/low r1,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-029,Ierchov Aleksandr,Aleksandr Sergeyevich ERSHOV,3,Aleksandr ERMAKOV,0.9407,50404,"The search phrase 'Ierchov Aleksandr' corresponds to candidate 50404 ('Aleksandr Sergeyevich ERSHOV'), where 'Ierchov' is a standard alternate transliteration (French system) of the Russian surname Ershov (Ершов)."
3.7-flash/low r1,multi_match,french,3-2,S-RUS-TRANSL-32-FRENCH-038,Gousev Denis,Denis Vladimirovich GUSEV,2,Denis Igorevich GUSEV,0.9808,"26671,36786","The search phrase 'Gousev Denis' matches candidates Denis Igorevich GUSEV (26671) and Denis Vladimirovich GUSEV (36786), with 'Gousev' being a common transliteration variant of 'Gusev' and the name components Denis and Gusev matching both individuals."
3.7-flash/low r1,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-039,Golovanov Viktor,Viktar Hryhoryavich HALAVANAU,19,Viktor Alekseevich KOMANOV,0.9325,9761,"Candidate 9761, 'Viktar Hryhoryavich HALAVANAU', is the standard Belarusian transliteration variant of the Russian name 'Viktor Golovanov'."
3.7-flash/low r1,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-054,Koliouchin Ievgueni,Yevgeny Ivanovich KOLYUSHIN,2,Evgueni KOSTIOUK,0.9356,40119,The search phrase 'Koliouchin Ievgueni' corresponds to 'Yevgeny Ivanovich KOLYUSHIN' (ID: 40119) using alternative transliteration (French system) and inverted name order.
3.7-flash/low r1,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-108,Chevtchenko Iouri,Yuriy Valeryevich SHEVCHENKO,2,Yuriy Valeryevich CHECHIKHIN,0.9129,37733,"The search phrase 'Chevtchenko Iouri' is a standard French-style transliteration of the Russian name Юрий Шевченко (Yuriy Shevchenko), matching candidate 37733 (Yuriy Valeryevich SHEVCHENKO)."
3.7-flash/low r1,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-109,Chipoulin Anton,Anton Vladimirovich SHIPULIN,3,Anton THULIN,0.911,35484,"The search phrase 'Chipoulin Anton' matches candidate 35484, 'Anton Vladimirovich SHIPULIN', accounting for name ordering and standard French/alternative Latin transliteration of the Russian surname Shipulin (Chipoulin)."
3.7-flash/low r1,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-112,Choigou Serguei,Sergei Kuzhugetovich SHOIGU,28,Sergei Anatolyevich KOGOGIN,0.9152,35173,"The search phrase 'Choigou Serguei' matches Sergei Kuzhugetovich SHOIGU (ID: 35173), where 'Choigou' and 'Serguei' are standard French transliterations of the Russian surname Shoigu and given name Sergei."
3.7-flash/low r1,multi_match,french,3-2,S-RUS-TRANSL-32-FRENCH-142,Volfovitch Aleksandr,Aleksandr Grigorievich VOLFOVICH,2,Alexander VOLFOVICH,0.9634,"39784,34976",The search phrase 'Volfovitch Aleksandr' matches candidate 39784 ('Alexander VOLFOVICH') and candidate 34976 ('Aleksandr Grigorievich VOLFOVICH') based on standard transliteration and name-order variations.
3.7-flash/low r1,multi_match,icao,3-2,S-RUS-TRANSL-32-ICAO-038,Gusev Denis,Denis Vladimirovich GUSEV,2,Denis Igorevich GUSEV,0.9879,"26671,36786","The search phrase 'Gusev Denis' matches candidates with the first name Denis and last name Gusev (IDs 26671 and 36786), considering standard name-order variations."
3.7-flash/low r1,rank1_override,icao,3-2,S-RUS-TRANSL-32-ICAO-039,Golovanov Viktor,Viktar Hryhoryavich HALAVANAU,19,Viktor Alekseevich KOMANOV,0.9325,9761,"Candidate 9761, 'Viktar Hryhoryavich HALAVANAU', matches 'Golovanov Viktor' via Belarusian/Russian name transliteration variants ('Viktar' for 'Viktor' and 'HALAVANAU' for 'Golovanov')."
3.7-flash/low r1,rank1_override,icao,3-2,S-RUS-TRANSL-32-ICAO-115,Sikorskii Artem,Artsiom Igaravich SIKORSKI,9,Artem SAMOYLOV,0.9386,32751,"Candidate 32751 (Artsiom Igaravich SIKORSKI) matches the search phrase 'Sikorskii Artem', representing standard transliteration and name-order variations (Artsiom/Artem and Sikorski/Sikorskii)."
3.7-flash/low r1,multi_match,icao,3-2,S-RUS-TRANSL-32-ICAO-142,Volfovich Aleksandr,Aleksandr Grigorievich VOLFOVICH,2,Alexander VOLFOVICH,0.966,"39784,34976","The search phrase 'Volfovich Aleksandr' matches candidate 39784 ('Alexander VOLFOVICH') and candidate 34976 ('Aleksandr Grigorievich VOLFOVICH'), accounting for standard name order variations, patronymics, and transliterations (Alexander / Aleksandr)."
3.7-flash/low r1,rank1_override,french,3-3,S-RUS-TRANSL-33-FRENCH-039,Golovanov Viktor Grigorievitch,Viktar Hryhoryavich HALAVANAU,25,Viktor Alekseevich KOMANOV,0.9257,9761,Entity ID 9761 (Viktar Hryhoryavich HALAVANAU) is the Belarusian transliteration of the Russian name Viktor Grigorievitch Golovanov.
3.7-flash/low r1,rank1_override,french,3-3,S-RUS-TRANSL-33-FRENCH-108,Chevtchenko Iouri Valerievitch,Yuriy Valeryevich SHEVCHENKO,2,Yuriy Valeryevich CHECHIKHIN,0.9161,37733,"The search phrase 'Chevtchenko Iouri Valerievitch' is a standard French transliteration of 'Yuriy Valeryevich SHEVCHENKO' (candidate 37733), matching the last name, first name, and patronymic."
3.7-flash/low r1,rank1_override,french,3-3,S-RUS-TRANSL-33-FRENCH-109,Chipoulin Anton Vladimirovitch,Anton Vladimirovich SHIPULIN,2,Anton Andreyevich CHEREPENNIKOV,0.9237,35484,The search phrase 'Chipoulin Anton Vladimirovitch' represents a French transliteration variant of candidate Anton Vladimirovich SHIPULIN (ID: 35484).
3.7-flash/low r1,rank1_override,french,3-3,S-RUS-TRANSL-33-FRENCH-112,Choigou Serguei Koujouguetovitch,Sergei Kuzhugetovich SHOIGU,7,Sergei Anatolyevich KOGOGIN,0.9193,35173,"The search phrase 'Choigou Serguei Koujouguetovitch' is a French transliteration variant of candidate 35173, Sergei Kuzhugetovich SHOIGU."
3.7-flash/low r1,rank1_override,icao,3-3,S-RUS-TRANSL-33-ICAO-039,Golovanov Viktor Grigorevich,Viktar Hryhoryavich HALAVANAU,22,Viktor Alekseevich KOMANOV,0.9288,9761,"Candidate 9761 (Viktar Hryhoryavich HALAVANAU) is the Belarusian transliteration variant of the Russian name Golovanov Viktor Grigorevich (HALAVANAU = Golovanov, Viktar = Viktor, Hryhoryavich = Grigorevich)."
3.7-flash/low r1,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-008,Biehlov Oleksandr,Aleksandr Dmitrievich BEGLOV,3,Oleksandr MELNYCHUK,0.9156,35226,"Candidate 35226 (Aleksandr Dmitrievich BEGLOV) matches the search phrase 'Biehlov Oleksandr', which represents a standard Ukrainian-to-English transliteration and alternative name order for Aleksandr Beglov."
3.7-flash/low r1,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-036,Horytskyi Dmytro,Dmitry Yuryevich GORITSKY,2,Dmytro ABAKUMOV,0.9272,36792,The search phrase 'Horytskyi Dmytro' matches candidate 36792 ('Dmitry Yuryevich GORITSKY') via standard transliteration and name-order variants (Dmytro/Dmitry and Horytskyi/Goritsky).
3.7-flash/low r1,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-037,Hurulov Andrii,Andrey Viktorovich GURULEV,4,Andrii TELIZHENKO,0.9191,35603,"Candidate 35603 ('Andrey Viktorovich GURULEV') matches the search phrase 'Hurulov Andrii', reflecting standard Ukrainian/Russian transliteration variations (Hurulov/Gurulev and Andrii/Andrey) and inverted name order."
3.7-flash/low r1,multi_match,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-038,Husiev Denys,Denis Vladimirovich GUSEV,4,Denis MAIDANOV,0.9079,"26671,36786",The search phrase 'Husiev Denys' corresponds to the name Denis Gusev (using Ukrainian transliteration conventions where 'Husiev' represents Gusev and 'Denys' represents Denis). Candidates 26671 (Denis Igorevich GUSEV) and 36786 (Denis Vladimirovich GUSEV) both match this name.
3.7-flash/low r1,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-109,Siechin Ihor,Igor Ivanovich SECHIN,3,Ihor Ihorovych SEMENCHEV,0.9389,16692,"The search phrase 'Siechin Ihor' represents a transliteration and name-order variant (Ukrainian transliteration of Игорь Сечин / Ігор Сєчін) of candidate 16692, Igor Ivanovich SECHIN."
3.7-flash/low r1,retrieval_miss,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-116,Shoihu Serhii,Sergei Kuzhugetovich SHOIGU,,Serhiy MELNYCHUK,0.9214,,"None of the retrieved candidates match the surname 'Shoihu' (or standard transliterations like Shoigu/Shoygu). While several candidates share the first name 'Serhii' (or variants like Sergei/Serhiy/Siarhei), their family names differ completely."
3.7-flash/low r1,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-119,Sikorskyi Artem,Artsiom Igaravich SIKORSKI,6,Artem SAMOYLOV,0.9384,32751,"Candidate 32751 (Artsiom Igaravich SIKORSKI) matches the search phrase 'Sikorskyi Artem', representing transliteration and name-order variations of the first and last name."
3.7-flash/low r1,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-125,Sokil Serhii,Sergey Mikhaylovich SOKOL,2,Serhii Anatoliyovych ZDRILIUK,0.9273,35517,"The search phrase 'Sokil Serhii' represents the Ukrainian variant/transliteration of candidate Sergey Mikhaylovich SOKOL (entity_id 35517), matching the first and last name elements."
3.7-flash/low r1,multi_match,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-147,Volfovych Oleksandr,Aleksandr Grigorievich VOLFOVICH,2,Alexander VOLFOVICH,0.9338,"39784,34976",The search phrase 'Volfovych Oleksandr' matches retrieved candidates 'Alexander VOLFOVICH' (ID 39784) and 'Aleksandr Grigorievich VOLFOVICH' (ID 34976) via standard Ukrainian/Russian transliteration and name ordering (Oleksandr/Alexander/Aleksandr Volfovych/Volfovich).
3.7-flash/low r1,rank1_override,rus_ukr,3-3,S-RUS-UKR-TRANSL-OFFICIAL-33-038,Husiev Denys Volodymyrovych,Denis Vladimirovich GUSEV,2,Denis Olegovich DEGTYARENKO,0.9019,36786,"The search phrase 'Husiev Denys Volodymyrovych' matches candidate 36786 ('Denis Vladimirovich GUSEV') based on standard Ukrainian-to-Russian name transliteration equivalents (Husiev/Gusev, Denys/Denis, Volodymyrovych/Vladimirovich)."
3.7-flash/low r1,rank1_override,rus_ukr,3-3,S-RUS-UKR-TRANSL-OFFICIAL-33-109,Siechin Ihor Ivanovych,Igor Ivanovich SECHIN,2,Ihor Ihorovych SEMENCHEV,0.9432,16692,"The search phrase 'Siechin Ihor Ivanovych' corresponds to candidate 16692 ('Igor Ivanovich SECHIN') with standard transliteration differences (Ukrainian/Russian transliteration of the given name Igor/Ihor, patronymic Ivanovich/Ivanovych, and surname Sechin/Siechin) and reversed name ordering."
3.7-flash/low r1,rank1_override,rus_ukr,3-3,S-RUS-UKR-TRANSL-OFFICIAL-33-116,Shoihu Serhii Kuzhuhetovych,Sergei Kuzhugetovich SHOIGU,13,Serhiy MELNYCHUK,0.9209,35173,"The search phrase 'Shoihu Serhii Kuzhuhetovych' is a Ukrainian transliteration variant of candidate 35173, 'Sergei Kuzhugetovich SHOIGU'."
3.7-flash/low r1,rank1_override,rus_ukr,3-3,S-RUS-UKR-TRANSL-OFFICIAL-33-119,Sikorskyi Artem Ihorovych,Artsiom Igaravich SIKORSKI,2,Artem Aleksandrovich VERHOV,0.9423,32751,"Candidate 32751 ('Artsiom Igaravich SIKORSKI') matches the search phrase 'Sikorskyi Artem Ihorovych' representing standard Ukrainian/Belarusian transliteration and name-order variants of the same full name (First: Artem/Artsiom, Patronymic: Ihorovych/Igaravich, Last: Sikorskyi/Sikorski)."
3.7-flash/low r2,multi_match,lat,3-2,S-LAT-SLAV32-038,GUSEV Denis,Denis Vladimirovich GUSEV,2,Denis Igorevich GUSEV,0.9882,"26671,36786","The search phrase 'GUSEV Denis' matches the candidates 'Denis Igorevich GUSEV' (ID: 26671) and 'Denis Vladimirovich GUSEV' (ID: 36786), sharing the same first and last name."
