stem,query_id,regime,specificity,polarity,correct_in_n_runs,decision_unanimous,matched_set_identical,sets
NS-LAT-SLAV-32-045,NS-LAT-SLAV-32-045,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-046,NS-LAT-SLAV-32-046,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-047,NS-LAT-SLAV-32-047,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-048,NS-LAT-SLAV-32-048,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-049,NS-LAT-SLAV-32-049,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-050,NS-LAT-SLAV-32-050,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-051,NS-LAT-SLAV-32-051,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-052,NS-LAT-SLAV-32-052,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-053,NS-LAT-SLAV-32-053,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-054,NS-LAT-SLAV-32-054,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-055,NS-LAT-SLAV-32-055,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-056,NS-LAT-SLAV-32-056,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-057,NS-LAT-SLAV-32-057,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-058,NS-LAT-SLAV-32-058,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-059,NS-LAT-SLAV-32-059,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-060,NS-LAT-SLAV-32-060,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-061,NS-LAT-SLAV-32-061,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-062,NS-LAT-SLAV-32-062,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-063,NS-LAT-SLAV-32-063,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-064,NS-LAT-SLAV-32-064,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-065,NS-LAT-SLAV-32-065,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-066,NS-LAT-SLAV-32-066,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-067,NS-LAT-SLAV-32-067,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-068,NS-LAT-SLAV-32-068,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-069,NS-LAT-SLAV-32-069,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-070,NS-LAT-SLAV-32-070,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-071,NS-LAT-SLAV-32-071,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-072,NS-LAT-SLAV-32-072,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-073,NS-LAT-SLAV-32-073,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-074,NS-LAT-SLAV-32-074,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-075,NS-LAT-SLAV-32-075,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-076,NS-LAT-SLAV-32-076,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-077,NS-LAT-SLAV-32-077,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-078,NS-LAT-SLAV-32-078,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-079,NS-LAT-SLAV-32-079,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-080,NS-LAT-SLAV-32-080,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-081,NS-LAT-SLAV-32-081,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-082,NS-LAT-SLAV-32-082,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-083,NS-LAT-SLAV-32-083,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-084,NS-LAT-SLAV-32-084,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-085,NS-LAT-SLAV-32-085,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-086,NS-LAT-SLAV-32-086,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-087,NS-LAT-SLAV-32-087,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-088,NS-LAT-SLAV-32-088,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-089,NS-LAT-SLAV-32-089,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-090,NS-LAT-SLAV-32-090,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-091,NS-LAT-SLAV-32-091,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-092,NS-LAT-SLAV-32-092,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-093,NS-LAT-SLAV-32-093,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-094,NS-LAT-SLAV-32-094,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-095,NS-LAT-SLAV-32-095,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-096,NS-LAT-SLAV-32-096,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-097,NS-LAT-SLAV-32-097,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-098,NS-LAT-SLAV-32-098,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-099,NS-LAT-SLAV-32-099,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-100,NS-LAT-SLAV-32-100,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-101,NS-LAT-SLAV-32-101,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-102,NS-LAT-SLAV-32-102,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-103,NS-LAT-SLAV-32-103,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-104,NS-LAT-SLAV-32-104,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-105,NS-LAT-SLAV-32-105,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-106,NS-LAT-SLAV-32-106,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-107,NS-LAT-SLAV-32-107,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-108,NS-LAT-SLAV-32-108,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-109,NS-LAT-SLAV-32-109,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-110,NS-LAT-SLAV-32-110,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-111,NS-LAT-SLAV-32-111,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-112,NS-LAT-SLAV-32-112,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-113,NS-LAT-SLAV-32-113,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-114,NS-LAT-SLAV-32-114,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-115,NS-LAT-SLAV-32-115,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-116,NS-LAT-SLAV-32-116,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-117,NS-LAT-SLAV-32-117,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-118,NS-LAT-SLAV-32-118,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-119,NS-LAT-SLAV-32-119,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-120,NS-LAT-SLAV-32-120,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-121,NS-LAT-SLAV-32-121,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-122,NS-LAT-SLAV-32-122,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-123,NS-LAT-SLAV-32-123,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-124,NS-LAT-SLAV-32-124,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-125,NS-LAT-SLAV-32-125,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-126,NS-LAT-SLAV-32-126,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-127,NS-LAT-SLAV-32-127,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-128,NS-LAT-SLAV-32-128,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-129,NS-LAT-SLAV-32-129,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-130,NS-LAT-SLAV-32-130,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-131,NS-LAT-SLAV-32-131,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-132,NS-LAT-SLAV-32-132,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-133,NS-LAT-SLAV-32-133,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-134,NS-LAT-SLAV-32-134,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-135,NS-LAT-SLAV-32-135,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-136,NS-LAT-SLAV-32-136,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-137,NS-LAT-SLAV-32-137,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-138,NS-LAT-SLAV-32-138,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-139,NS-LAT-SLAV-32-139,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-140,NS-LAT-SLAV-32-140,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-141,NS-LAT-SLAV-32-141,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-142,NS-LAT-SLAV-32-142,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-143,NS-LAT-SLAV-32-143,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-144,NS-LAT-SLAV-32-144,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-145,NS-LAT-SLAV-32-145,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-146,NS-LAT-SLAV-32-146,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-147,NS-LAT-SLAV-32-147,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-148,NS-LAT-SLAV-32-148,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-149,NS-LAT-SLAV-32-149,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-150,NS-LAT-SLAV-32-150,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-001,NS-LAT-SLAV-33-001,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-002,NS-LAT-SLAV-33-002,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-003,NS-LAT-SLAV-33-003,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-004,NS-LAT-SLAV-33-004,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-005,NS-LAT-SLAV-33-005,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-006,NS-LAT-SLAV-33-006,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-007,NS-LAT-SLAV-33-007,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-008,NS-LAT-SLAV-33-008,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-009,NS-LAT-SLAV-33-009,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-010,NS-LAT-SLAV-33-010,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-011,NS-LAT-SLAV-33-011,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-012,NS-LAT-SLAV-33-012,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-013,NS-LAT-SLAV-33-013,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-014,NS-LAT-SLAV-33-014,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-015,NS-LAT-SLAV-33-015,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-016,NS-LAT-SLAV-33-016,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-017,NS-LAT-SLAV-33-017,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-018,NS-LAT-SLAV-33-018,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-019,NS-LAT-SLAV-33-019,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-020,NS-LAT-SLAV-33-020,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-021,NS-LAT-SLAV-33-021,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-022,NS-LAT-SLAV-33-022,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-023,NS-LAT-SLAV-33-023,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-024,NS-LAT-SLAV-33-024,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-025,NS-LAT-SLAV-33-025,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-026,NS-LAT-SLAV-33-026,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-027,NS-LAT-SLAV-33-027,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-028,NS-LAT-SLAV-33-028,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-029,NS-LAT-SLAV-33-029,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-030,NS-LAT-SLAV-33-030,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-031,NS-LAT-SLAV-33-031,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-032,NS-LAT-SLAV-33-032,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-033,NS-LAT-SLAV-33-033,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-034,NS-LAT-SLAV-33-034,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-035,NS-LAT-SLAV-33-035,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-036,NS-LAT-SLAV-33-036,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-037,NS-LAT-SLAV-33-037,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-038,NS-LAT-SLAV-33-038,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-039,NS-LAT-SLAV-33-039,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-040,NS-LAT-SLAV-33-040,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-041,NS-LAT-SLAV-33-041,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-042,NS-LAT-SLAV-33-042,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-043,NS-LAT-SLAV-33-043,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-044,NS-LAT-SLAV-33-044,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-045,NS-LAT-SLAV-33-045,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-046,NS-LAT-SLAV-33-046,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-047,NS-LAT-SLAV-33-047,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-048,NS-LAT-SLAV-33-048,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-049,NS-LAT-SLAV-33-049,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-050,NS-LAT-SLAV-33-050,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-051,NS-LAT-SLAV-33-051,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-052,NS-LAT-SLAV-33-052,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-053,NS-LAT-SLAV-33-053,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-054,NS-LAT-SLAV-33-054,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-055,NS-LAT-SLAV-33-055,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-056,NS-LAT-SLAV-33-056,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-057,NS-LAT-SLAV-33-057,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-058,NS-LAT-SLAV-33-058,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-059,NS-LAT-SLAV-33-059,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-060,NS-LAT-SLAV-33-060,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-061,NS-LAT-SLAV-33-061,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-062,NS-LAT-SLAV-33-062,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-063,NS-LAT-SLAV-33-063,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-064,NS-LAT-SLAV-33-064,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-065,NS-LAT-SLAV-33-065,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-066,NS-LAT-SLAV-33-066,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-067,NS-LAT-SLAV-33-067,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-068,NS-LAT-SLAV-33-068,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-069,NS-LAT-SLAV-33-069,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-070,NS-LAT-SLAV-33-070,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-071,NS-LAT-SLAV-33-071,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-072,NS-LAT-SLAV-33-072,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-073,NS-LAT-SLAV-33-073,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-074,NS-LAT-SLAV-33-074,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-075,NS-LAT-SLAV-33-075,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-076,NS-LAT-SLAV-33-076,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-077,NS-LAT-SLAV-33-077,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-078,NS-LAT-SLAV-33-078,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-079,NS-LAT-SLAV-33-079,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-080,NS-LAT-SLAV-33-080,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-081,NS-LAT-SLAV-33-081,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-082,NS-LAT-SLAV-33-082,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-083,NS-LAT-SLAV-33-083,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-084,NS-LAT-SLAV-33-084,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-085,NS-LAT-SLAV-33-085,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-086,NS-LAT-SLAV-33-086,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-087,NS-LAT-SLAV-33-087,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-088,NS-LAT-SLAV-33-088,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-089,NS-LAT-SLAV-33-089,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-090,NS-LAT-SLAV-33-090,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-091,NS-LAT-SLAV-33-091,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-092,NS-LAT-SLAV-33-092,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-093,NS-LAT-SLAV-33-093,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-094,NS-LAT-SLAV-33-094,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-095,NS-LAT-SLAV-33-095,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-096,NS-LAT-SLAV-33-096,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-097,NS-LAT-SLAV-33-097,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-098,NS-LAT-SLAV-33-098,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-099,NS-LAT-SLAV-33-099,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-100,NS-LAT-SLAV-33-100,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-101,NS-LAT-SLAV-33-101,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-102,NS-LAT-SLAV-33-102,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-103,NS-LAT-SLAV-33-103,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-104,NS-LAT-SLAV-33-104,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-105,NS-LAT-SLAV-33-105,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-106,NS-LAT-SLAV-33-106,ns,3-3,negative,3,True,True,- | - | -
NS-LAT-SLAV-33-107,NS-LAT-SLAV-33-107,ns,3-3,negative,3,True,True,- | - | -
